composite_ID,TC_IFR-U-i1,TC_IFR-U-i2,TC_IFR-U-i3,TC_IFR-U-i4,TC_IFR-U-i5,TC_IFR-U-i6,TC_ICR-U-i1,TC_ICR-U-i2,TC_ICR-U-i3,TC_ICR-U-i4,TC_ICR-U-i5,TC_ICR-U-i6,TC_IRE-U-i1,TC_IRE-U-i2,TC_IRE-U-i3,TC_IRE-U-i4,TC_IRE-U-i5,TC_IRE-U-i6,TC_IFR-D-i1,TC_IFR-D-i2,TC_IFR-D-i3,TC_IFR-D-i4,TC_IFR-D-i5,TC_IFR-D-i6,TC_ICR-D-i1,TC_ICR-D-i2,TC_ICR-D-i3,TC_ICR-D-i4,TC_ICR-D-i5,TC_ICR-D-i6,TC_IRE-D-i1,TC_IRE-D-i2,TC_IRE-D-i3,TC_IRE-D-i4,TC_IRE-D-i5,TC_IRE-D-i6
A010_T1,4,1,4,4,4,0,4,3,4,4,4,1,4,2,4,4,4,2,1,0,4,1,4,0,1,1,4,1,4,1,2,2,4,2,4,1
A010_T2,3,4,2,0,0,0,4,2,4,4,2,1,4,1,4,4,1,1,4,1,1,0,0,0,4,2,3,1,2,3,4,1,3,1,2,4
A010_T3,4,0,0,0,0,0,1,3,0,4,1,3,1,4,1,4,1,2,4,0,0,0,0,0,0,1,0,3,1,1,0,1,1,4,1,1
A010_T4,4,3,3,4,0,0,0,4,4,0,3,4,1,4,4,1,3,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2
A011_T1,4,0,4,0,4,2,4,3,4,4,4,4,4,2,4,1,4,3,0,4,4,0,4,4,1,4,4,4,1,4,2,4,4,4,3,4
A011_T2,1,4,2,4,1,4,4,2,4,4,3,4,4,2,3,4,2,4,1,4,4,1,4,1,4,0,0,2,4,1,4,2,2,2,4,1
A011_T3,0,3,0,3,2,3,3,1,4,1,3,4,4,2,3,2,3,4,2,0,4,2,2,1,4,4,1,3,2,1,4,2,0,3,3,1
A011_T4,1,1,4,0,4,0,1,2,1,4,3,0,2,3,2,4,3,2,0,1,0,2,0,0,1,2,1,2,1,0,1,1,0,3,2,2
A012_T1,4,3,4,4,4,1,3,4,4,4,3,4,4,4,4,4,4,4,4,2,3,3,2,0,3,1,4,4,1,3,3,2,4,4,0,4
A012_T2,2,0,2,1,4,0,2,2,4,4,4,4,1,3,2,2,2,3,2,0,0,1,0,0,2,0,1,2,1,1,3,2,1,3,0,1
A012_T3,4,3,2,4,4,0,4,4,4,1,4,4,4,4,4,1,4,4,1,0,0,1,0,0,1,1,1,0,1,2,1,1,1,1,1,1
A012_T4,4,0,3,0,0,0,4,1,3,0,1,1,4,2,3,3,2,1,3,1,4,1,0,0,2,1,4,1,0,1,3,0,4,3,2,1
A013_T1,4,2,0,0,0,0,1,3,4,3,1,4,2,1,4,4,4,4,4,0,0,0,0,0,0,0,4,3,0,1,2,0,4,4,4,2
A013_T2,3,1,4,0,2,0,0,2,0,2,0,4,1,4,0,0,0,4,2,2,0,2,2,0,0,0,4,0,0,3,4,2,4,3,0,3
A013_T3,0,3,4,1,0,0,4,0,4,2,4,1,4,0,4,2,4,0,0,0,4,3,0,0,0,0,4,3,1,2,3,0,4,2,0,4
A013_T4,1,0,1,0,1,0,1,0,0,3,0,0,1,0,1,4,0,2,1,0,0,0,1,1,1,1,0,1,0,0,2,2,0,1,0,2
A014_T1,4,4,1,2,3,0,4,3,4,4,4,3,4,4,4,4,3,3,3,4,3,3,3,0,2,3,4,4,4,4,2,2,3,4,4,4
A014_T2,3,4,4,1,0,3,4,4,4,4,4,4,3,4,4,4,4,4,4,2,3,1,0,3,3,2,3,4,2,2,2,3,2,4,4,2
A014_T3,4,1,4,1,1,0,4,4,4,3,1,3,4,4,4,4,2,2,1,1,1,0,1,0,2,3,2,1,2,4,2,2,0,1,3,3
A014_T4,4,2,1,0,3,0,2,3,3,4,2,4,3,4,3,4,3,4,1,0,0,0,3,0,2,3,1,2,2,2,2,3,2,1,2,1
A015_T1,4,2,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,0,4,2,4,4,2,4,4,2,4,4,4,4
A015_T2,4,4,4,4,4,0,4,4,4,3,4,2,4,4,4,4,4,4,0,0,4,4,0,0,0,2,4,0,1,4,0,0,4,1,0,0
A015_T3,4,4,4,4,4,2,4,4,4,4,0,4,4,4,4,4,0,4,1,1,1,1,4,0,2,0,0,2,0,0,2,0,0,0,0,0
A015_T4,4,4,0,0,4,0,0,4,2,4,4,4,0,4,4,4,4,4,2,0,0,0,2,0,0,0,2,1,1,2,0,0,0,2,0,0
A016_T1,2,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,2,1,1,3,2,0,1,4,4,1,3,3,1,3,4,1,3,4
A016_T2,4,3,4,1,1,1,4,1,4,2,3,2,3,0,4,3,4,2,1,3,4,3,4,0,1,2,4,3,2,4,1,0,4,3,4,4
A016_T3,3,3,3,2,2,2,2,4,2,1,3,3,4,4,4,0,3,4,1,1,1,1,3,1,3,1,3,2,1,0,1,1,4,1,2,1
A016_T4,2,1,0,0,0,0,1,0,0,2,1,4,2,3,1,3,3,2,1,1,1,1,0,3,1,0,0,4,1,1,3,1,2,4,2,1
A017_T1,4,4,4,4,0,0,4,4,0,4,4,0,0,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,2,0,0,4,4,0,4,4
A017_T2,4,0,4,0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0,4,0,4,4,0,4,0,4,0,4,0,4,4,4,4,4
A017_T3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,0
A017_T4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,4,0,0,0,0,0,4,4,0,0,4,0,4,4,4,0
A018_T1,4,0,4,0,0,0,4,2,4,2,4,1,4,4,4,1,4,4,4,0,4,0,0,0,4,0,4,1,4,4,2,2,4,1,4,4
A018_T2,4,4,2,0,0,0,4,4,1,0,4,4,4,4,2,2,4,4,0,0,0,0,0,0,4,0,4,2,0,0,4,0,0,0,0,4
A018_T3,4,0,0,0,0,0,4,4,0,4,1,0,4,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A018_T4,0,0,0,0,0,0,1,0,4,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A019_T1,3,2,1,1,2,2,2,2,2,2,2,1,2,3,2,1,1,1,1,2,1,1,0,2,1,1,1,2,1,1,2,1,1,3,2,1
A019_T2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1
A019_T3,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,2
A019_T4,0,0,0,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,0,0,0,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2
A020_T1,4,2,4,0,0,0,4,0,4,2,4,0,4,2,4,1,4,3,0,4,1,4,0,0,0,3,0,3,0,0,0,4,1,4,0,4
A020_T2,4,0,4,0,0,0,4,3,4,4,4,4,4,4,4,4,4,4,3,0,1,0,0,0,0,3,3,1,3,0,2,3,2,0,2,4
A020_T3,0,0,0,0,0,0,4,3,1,1,2,0,2,3,2,2,3,4,0,0,0,0,1,0,3,3,0,0,0,1,4,2,3,1,2,1
A020_T4,0,0,0,0,0,0,0,2,2,1,0,1,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,3,3,0
A021_T1,4,0,4,2,4,1,4,1,4,4,4,3,4,4,4,4,4,2,1,3,4,1,2,3,2,1,4,2,2,1,2,1,2,2,2,2
A021_T2,2,4,2,2,1,0,2,4,4,4,4,1,3,4,4,4,4,4,4,2,2,2,1,0,2,1,2,1,1,4,1,1,1,1,0,4
A021_T3,4,4,4,3,4,0,4,4,2,4,1,4,3,4,3,4,3,4,2,1,2,1,1,0,1,1,1,2,1,1,2,1,1,1,3,1
A021_T4,4,4,4,4,4,0,4,4,4,1,4,4,4,4,4,2,4,4,0,0,0,1,3,0,1,0,1,1,1,0,1,1,0,0,1,0
A022_T1,0,1,2,0,0,0,0,3,3,3,3,3,0,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A022_T2,1,2,4,0,0,0,0,3,1,0,0,3,1,3,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A022_T3,4,0,4,0,4,0,0,0,4,3,3,0,4,2,3,2,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
A022_T4,0,0,2,2,0,0,0,0,0,1,2,2,1,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A023_T1,3,1,0,0,0,0,4,4,3,4,4,4,4,4,2,4,4,4,3,1,0,0,0,0,2,4,4,4,4,0,4,3,4,4,0,1
A023_T2,3,2,0,0,0,3,4,4,4,3,4,4,3,4,4,2,4,4,2,2,0,0,0,2,4,2,2,2,2,2,3,3,3,2,3,4
A023_T3,3,3,2,2,0,0,3,2,4,4,4,2,2,2,4,4,4,2,2,4,2,2,0,0,3,2,3,2,1,2,1,2,2,3,2,2
A023_T4,4,2,4,1,0,0,4,3,4,2,3,2,4,3,4,2,1,4,2,2,4,2,0,0,1,4,4,1,3,1,2,2,4,2,1,1
A024_T1,3,4,4,0,0,0,4,0,4,4,2,1,4,4,4,4,1,3,1,4,2,0,0,0,1,0,2,1,1,1,2,2,2,3,1,1
A024_T2,0,4,2,0,4,0,4,4,4,4,4,4,4,4,4,1,4,4,0,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
A024_T3,4,4,2,2,1,1,2,3,4,4,0,1,3,2,4,4,1,3,1,1,1,2,0,1,1,1,4,1,3,4,1,0,4,3,1,1
A024_T4,2,0,3,2,0,1,1,1,3,2,0,1,1,1,2,1,0,0,3,0,4,2,0,2,4,1,4,2,0,0,4,0,4,0,0,0
A025_T1,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,0,4,0,0,4,1,0,2,1,1,4,2,2,0,1,2
A025_T2,4,2,4,1,4,0,4,4,4,3,4,2,4,4,4,2,4,1,1,0,3,1,2,3,0,0,4,1,2,4,0,1,4,1,1,4
A025_T3,4,4,4,1,0,0,0,4,2,4,1,3,3,4,4,4,1,4,2,0,0,1,0,2,0,1,1,3,1,1,2,1,1,3,0,2
A025_T4,0,0,0,0,0,0,2,0,0,1,0,0,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
A026_T1,4,3,0,0,0,0,3,3,4,2,0,4,4,4,4,4,2,4,0,2,4,4,4,0,3,3,4,2,0,0,2,2,4,2,4,3
A026_T2,0,1,4,1,4,0,1,2,4,2,4,0,1,3,4,3,4,2,4,4,0,0,1,0,3,4,4,2,1,0,3,4,2,2,1,0
A026_T3,4,4,2,2,3,1,0,4,2,3,3,3,1,4,2,4,4,4,1,2,4,2,2,0,0,1,3,3,2,2,4,1,4,2,3,2
A026_T4,4,4,3,3,0,0,0,4,4,2,4,0,0,4,4,1,4,1,2,4,2,3,3,3,4,4,2,3,2,2,3,3,1,4,2,4
A027_T1,4,4,4,3,0,0,3,4,3,4,4,4,4,4,2,4,4,4,4,1,4,0,0,0,2,3,3,4,4,1,2,4,3,4,1,1
A027_T2,4,0,4,2,0,2,4,3,4,2,3,3,4,1,4,4,2,3,2,0,4,4,0,4,1,3,4,3,0,4,3,3,4,4,1,4
A027_T3,4,1,1,0,2,0,1,4,1,3,1,0,2,4,2,2,2,3,3,2,3,1,2,0,2,3,2,1,2,0,2,2,2,1,1,1
A027_T4,3,0,0,0,0,0,1,1,1,3,1,0,0,2,0,4,0,0,1,0,0,0,0,0,2,1,2,2,1,1,3,2,2,0,2,1
A028_T1,4,1,4,3,4,1,4,4,4,4,4,2,4,1,4,1,4,1,1,4,4,2,4,4,0,4,4,1,0,4,1,4,4,1,4,4
A028_T2,4,4,1,1,1,0,4,4,4,1,2,4,1,4,4,2,1,4,4,1,4,4,1,0,4,1,1,1,3,4,4,1,2,1,2,4
A028_T3,4,4,1,0,0,0,1,1,3,1,1,4,4,1,3,1,2,4,1,1,4,4,0,0,2,1,1,1,0,1,0,1,1,1,1,1
A028_T4,0,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,0,0,3,1,1,1,1,1,1,1,0,4,1,1
A029_T1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,1,4,4,2,2,4,4,4,4,3,4,3,4
A029_T2,1,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,1,2,2,3,1,2,2,1,1,4,1,3,1,1,1,4,2,4
A029_T3,1,4,4,4,1,0,4,4,3,4,4,4,3,4,3,4,4,4,4,1,1,1,0,0,1,1,4,1,1,1,1,2,4,1,2,1
A029_T4,4,0,4,3,1,0,4,1,4,4,1,1,4,1,4,4,1,1,0,2,1,2,4,2,1,3,2,3,4,3,1,3,2,2,4,1
A030_T1,4,4,0,0,0,0,2,2,4,4,4,4,2,4,2,4,4,3,1,0,0,0,0,0,2,2,0,1,1,1,1,2,2,2,1,2
A030_T2,4,4,4,4,4,1,4,2,4,4,1,4,4,4,4,4,2,4,1,0,2,2,2,2,1,2,2,0,1,3,0,3,2,2,2,4
A030_T3,4,0,4,2,0,1,4,0,4,3,1,2,4,2,3,2,1,2,1,0,1,4,0,4,1,0,1,1,3,1,1,2,1,1,3,1
A030_T4,4,4,4,4,3,0,4,4,4,2,4,4,4,4,4,1,4,4,1,1,0,0,1,2,1,1,1,1,1,0,0,1,2,1,1,1
A031_T1,4,4,4,4,4,2,4,3,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4
A031_T2,0,0,4,4,0,0,1,4,4,4,4,4,1,4,3,4,4,4,4,0,4,4,0,0,4,0,0,4,0,4,4,0,0,4,0,3
A031_T3,4,2,0,1,2,1,2,4,3,2,0,0,3,4,4,3,0,0,0,0,0,1,0,3,1,0,3,1,0,0,3,0,4,1,0,0
A031_T4,0,0,0,2,0,0,1,1,0,3,1,0,1,1,4,4,2,0,1,0,0,0,0,0,1,2,0,0,1,0,4,2,4,1,0,0
A032_T1,4,2,4,4,4,0,4,4,4,0,4,4,4,4,4,1,4,4,4,4,2,0,0,0,4,0,2,2,0,1,4,0,4,4,0,0
A032_T2,0,4,4,0,4,0,0,4,0,4,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
A032_T3,4,4,0,4,0,0,4,0,4,4,0,4,2,0,4,4,1,4,1,4,0,0,0,0,0,0,0,0,1,4,0,0,1,1,1,4
A032_T4,4,0,4,0,2,0,4,0,4,1,4,1,4,1,4,3,2,4,0,0,4,0,0,4,1,0,4,1,1,4,1,2,4,3,1,4
A033_T1,4,4,4,0,0,0,1,4,2,4,4,4,2,4,1,4,4,2,1,3,0,0,0,0,0,0,0,4,1,2,0,2,1,4,2,0
A033_T2,3,1,3,0,0,1,2,4,3,4,4,0,4,3,4,4,4,1,0,0,0,0,0,1,2,1,1,4,0,0,1,1,2,1,0,0
A033_T3,4,4,3,1,2,4,4,4,4,4,2,0,4,4,4,4,4,3,0,3,0,1,4,0,0,4,0,1,1,0,0,4,1,0,4,0
A033_T4,4,4,0,0,2,0,1,4,1,1,4,4,0,4,2,0,4,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
A034_T1,4,4,4,4,2,0,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,0,4,2,2,4,4,4,4,2,4,4,3,4
A034_T2,4,3,4,3,4,0,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,0,3,4,3,4,4,4,2,3,2,4,4,4
A034_T3,4,2,4,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,0,1,0,3,3,3,4,2,2,3,3,3,4,2,3
A034_T4,3,2,2,0,0,0,3,4,2,4,3,4,4,4,4,4,4,4,3,1,2,0,0,0,3,3,3,2,1,2,2,2,4,3,2,3
A035_T1,1,3,0,4,0,0,1,4,2,4,2,2,2,4,3,4,4,2,4,2,0,2,0,0,2,3,4,2,3,4,1,4,3,1,2,3
A035_T2,4,4,4,0,4,1,4,4,3,3,4,2,4,4,4,3,4,2,2,1,2,2,0,0,2,4,1,2,0,2,2,3,1,4,1,1
A035_T3,1,2,3,0,0,0,3,4,4,2,3,2,2,4,4,1,3,1,0,1,2,0,0,0,2,2,3,1,3,1,1,3,4,1,4,1
A035_T4,0,3,1,0,0,0,2,2,1,2,2,4,2,3,1,3,1,4,0,1,1,0,0,0,2,1,1,1,1,1,1,2,1,1,2,1
A036_T1,2,0,0,0,0,0,1,1,1,1,1,1,3,2,2,3,1,1,1,2,0,0,0,0,1,0,2,2,1,0,1,0,2,2,1,1
A036_T2,0,0,0,0,0,2,1,2,1,1,1,1,1,2,2,1,1,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
A036_T3,0,0,2,1,0,0,1,1,2,1,0,1,3,1,2,1,0,1,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1
A036_T4,2,0,1,0,0,0,0,0,0,1,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A037_T1,4,4,4,3,0,0,4,4,4,4,4,4,4,4,4,1,4,4,2,0,0,4,4,4,4,2,0,1,0,0,4,3,0,2,2,0
A037_T2,4,3,4,1,2,1,4,3,4,2,4,0,4,2,4,2,4,2,3,2,1,1,2,3,3,1,0,0,2,2,3,2,0,1,2,3
A037_T3,1,0,2,0,0,3,0,4,2,3,0,0,2,4,3,2,0,0,4,0,0,0,0,2,0,4,3,4,0,0,2,4,2,4,0,0
A037_T4,4,0,0,0,0,0,0,3,1,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
A038_T1,4,1,4,1,3,1,4,3,4,3,4,1,4,4,4,4,3,1,4,0,1,3,4,4,2,2,2,3,4,3,1,2,3,4,2,2
A038_T2,3,3,2,4,4,3,2,4,4,4,4,0,2,4,1,4,4,0,2,4,1,1,4,3,4,2,2,4,1,0,4,0,0,4,1,0
A038_T3,4,4,2,1,2,3,3,4,3,0,4,4,3,4,4,2,1,4,1,0,4,4,4,0,3,0,3,1,0,4,4,0,4,4,0,3
A038_T4,2,4,4,0,4,4,4,4,3,4,3,0,4,4,3,4,4,4,1,1,1,0,0,0,3,3,4,1,0,0,1,3,3,4,3,0
A039_T1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,3,4,4,2,2,4,3,4,4,2,2,4,3,4
A039_T2,3,2,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,2
A039_T3,4,0,1,4,4,2,4,4,4,4,4,3,4,3,4,3,4,3,3,0,4,0,4,3,4,2,2,1,4,4,3,2,2,1,4,4
A039_T4,4,2,3,0,0,0,1,3,3,4,3,4,2,4,3,4,3,4,0,2,4,4,0,0,3,1,3,0,4,3,4,1,2,1,4,3
A040_T1,4,0,0,4,0,0,1,4,2,4,4,4,0,0,3,4,4,3,0,0,0,4,0,0,1,4,2,4,0,2,0,0,0,4,0,0
A040_T2,4,4,0,0,0,0,0,4,0,4,1,4,4,4,0,4,2,4,2,4,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,4
A040_T3,1,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
A040_T4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
A041_T1,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,2,4,4,1,3,4,2,4,0,4,4,4,0,3,0,2,0,2,2,4,0
A041_T2,4,4,0,4,0,4,0,4,4,4,4,0,0,4,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A041_T3,2,2,4,4,2,0,2,2,4,4,4,2,2,0,4,4,4,2,2,0,0,0,2,0,2,0,4,4,0,2,2,0,2,4,4,0
A041_T4,4,4,4,0,4,0,1,4,4,2,4,4,4,4,4,0,4,4,0,2,0,0,0,0,2,0,4,0,1,0,2,0,0,0,0,2
A042_T1,0,0,0,0,0,0,1,1,3,2,1,4,1,1,3,2,1,4,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,0,0
A042_T2,1,1,1,0,1,0,1,3,1,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
A042_T3,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,3,1,2,1,1,1,1,1,3,1
A042_T4,1,0,0,0,0,0,0,1,1,1,0,0,1,2,1,1,1,0,1,0,4,4,4,0,0,1,1,1,0,0,1,2,2,2,0,3
A043_T1,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,2,4,4,4,2
A043_T2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,1,4,4,4,3,1,4,4,4,2,4,4,4,4,4,4,2,4
A043_T3,4,4,4,2,2,1,4,4,4,4,3,4,4,4,3,4,2,4,2,2,4,4,1,1,4,4,2,4,4,2,4,4,3,3,4,3
A043_T4,4,0,2,1,2,2,4,1,4,2,2,1,4,2,4,4,2,2,0,0,2,4,4,2,2,1,1,4,4,4,4,1,2,4,4,3
A044_T1,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,4,1,1,0,0,2,0,0,0,0,1,1,1,0,2,1,2,2,2,1,3
A044_T2,4,0,4,0,0,0,2,0,3,2,1,1,4,1,4,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,3,1
A044_T3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1
A044_T4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1
A045_T1,0,0,4,0,0,0,0,0,0,4,0,4,2,4,2,4,2,4,0,0,4,0,0,0,0,0,4,4,0,2,2,2,4,4,4,2
A045_T2,4,0,2,1,0,0,4,1,1,1,0,0,4,1,1,1,0,1,1,0,2,4,0,0,1,2,4,4,0,0,0,2,4,3,2,2
A045_T3,2,1,0,0,0,4,4,4,1,0,1,0,4,4,1,2,4,0,3,3,2,1,0,4,2,0,1,0,4,1,4,4,4,0,1,0
A045_T4,0,0,0,0,0,0,0,4,4,1,0,0,4,4,4,1,1,1,0,0,0,1,0,0,0,1,2,0,0,1,0,1,1,0,1,3
A046_T1,4,1,0,3,1,0,2,2,1,2,2,2,4,4,3,4,2,4,1,1,1,1,3,0,2,2,1,1,1,2,2,3,2,3,2,2
A046_T2,4,1,0,1,0,0,1,1,2,3,1,0,2,4,3,2,2,2,2,2,0,1,0,0,2,2,3,2,2,0,1,2,3,2,2,3
A046_T3,2,2,0,1,1,1,0,1,1,3,2,3,2,1,2,2,1,3,2,2,0,1,1,1,1,0,2,2,1,2,1,1,2,1,2,3
A046_T4,2,0,4,3,0,3,0,0,0,3,1,0,2,1,4,4,1,0,2,0,2,2,0,3,0,0,0,2,1,0,1,0,0,2,0,1
A047_T1,2,2,1,1,0,1,3,2,3,3,3,3,3,4,2,3,3,4,3,1,1,2,0,1,2,3,2,3,1,2,3,3,2,2,3,2
A047_T2,4,0,3,3,2,4,4,1,2,2,1,1,4,4,2,2,2,2,2,0,1,1,0,0,1,1,2,2,0,1,2,2,2,2,1,1
A047_T3,3,3,1,1,0,0,1,2,2,3,3,3,3,2,2,3,3,3,1,1,1,1,0,0,0,0,2,0,1,2,3,2,3,3,2,3
A047_T4,1,1,0,0,0,0,1,0,0,0,1,0,2,0,2,2,2,2,1,1,0,0,2,0,1,0,0,0,1,0,2,0,2,1,3,2
A048_T1,4,0,4,1,4,0,4,3,4,1,4,3,4,2,4,2,4,4,1,0,4,1,3,0,1,2,4,1,4,1,0,2,4,2,1,0
A048_T2,1,1,1,4,4,1,4,4,1,4,4,3,2,4,4,4,4,2,1,1,2,1,1,4,1,1,2,1,1,3,3,1,4,1,0,3
A048_T3,4,1,1,0,2,0,0,4,4,1,1,1,1,3,4,4,3,0,1,0,1,0,0,4,0,1,0,4,4,0,4,1,1,1,4,0
A048_T4,1,1,4,0,0,4,0,4,1,0,4,1,0,4,2,3,3,2,4,1,0,0,0,0,1,1,1,4,1,4,1,1,1,4,0,1
A049_T1,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,3,4,4,1,4,1,4,2,2,4,4,2,2,2,1,4,4,2,3,2,2
A049_T2,4,0,4,0,0,0,2,4,2,4,0,2,2,4,2,4,1,4,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,1,1,1
A049_T3,0,0,4,4,4,0,4,4,4,4,2,1,4,4,4,4,2,1,4,0,0,1,1,0,0,0,1,1,0,4,1,0,1,0,1,4
A049_T4,4,0,4,0,0,0,4,0,4,2,0,0,4,0,4,1,0,0,1,0,1,0,0,2,0,0,0,2,0,4,1,0,0,1,1,4
A050_T1,4,2,1,0,0,4,4,4,0,4,4,4,1,4,1,4,4,4,0,1,1,0,0,0,0,1,0,4,4,0,1,1,1,2,4,2
A050_T2,0,4,4,0,4,0,4,1,4,0,4,4,2,4,4,0,4,4,2,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4
A050_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0
A050_T4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A051_T1,1,0,4,3,4,0,4,4,4,4,4,4,4,3,4,3,4,2,2,3,1,2,4,3,4,4,4,2,4,4,4,4,4,0,4,4
A051_T2,4,1,4,2,4,0,2,4,4,3,4,4,4,4,4,2,4,4,4,3,2,4,3,0,4,4,2,2,2,4,4,4,3,2,1,3
A051_T3,2,0,0,0,0,0,0,4,2,4,1,4,1,3,2,4,1,4,4,0,3,2,0,0,0,1,4,1,2,4,1,0,4,1,2,1
A051_T4,1,1,0,0,0,0,2,4,3,2,1,2,4,4,4,3,1,3,4,3,0,0,0,0,4,1,3,1,0,2,4,2,2,1,2,1
A052_T1,4,4,2,4,0,0,2,4,4,3,3,4,3,4,4,0,4,4,1,2,3,1,0,0,3,2,2,1,1,1,3,3,2,3,2,2
A052_T2,2,3,4,0,1,4,1,3,0,2,3,4,3,3,0,3,3,4,4,0,3,1,2,0,0,3,0,0,4,3,1,3,0,1,4,3
A052_T3,4,1,3,3,0,0,2,2,1,4,4,3,3,1,1,4,4,3,2,3,0,1,0,0,1,0,2,1,2,2,1,0,0,1,1,1
A052_T4,4,1,0,0,0,0,4,3,0,1,0,0,4,4,3,2,0,2,0,4,4,0,1,0,1,4,0,0,0,0,0,4,4,2,1,0
A053_T1,4,0,4,2,3,0,4,4,4,4,4,2,4,4,4,2,4,2,0,3,0,0,2,4,0,3,1,2,2,0,0,2,1,1,3,3
